Item_Number,Name,Year,Theme,Subtheme,Pieces,Minifigures,Image_URL,USD_MSRP,Packaging,Availability,wanted,owned,rating,theme_grp,review_num,query_id,adjust_coef,adj_USD_MSRP
10694,Creative Supplement Bright,2015,Classic,No_Subtheme,303.0,0.0,http://images.brickset.com/sets/images/10694-1.jpg,19.99,Box,Retail,277.0,787.0,0,Basic,0,10694-1,1.0,19.99
10695,Creative Building Box,2015,Classic,No_Subtheme,580.0,0.0,http://images.brickset.com/sets/images/10695-1.jpg,24.99,Box,Retail,265.0,945.0,0,Basic,0,10695-1,1.0,24.99
10697,XXXL Box,2015,Classic,No_Subtheme,1500.0,0.0,http://images.brickset.com/sets/images/10697-1.jpg,59.99,Box,Retail - limited,375.0,1130.0,0,Basic,0,10697-1,1.0,59.99
10698,Large Creative Brick Box,2015,Classic,No_Subtheme,790.0,0.0,http://images.brickset.com/sets/images/10698-1.jpg,59.99,Box,Retail,322.0,862.0,0,Basic,0,10698-1,1.0,59.99
21022,Lincoln Memorial,2015,Architecture,Landmark Series,274.0,0.0,http://images.brickset.com/sets/images/21022-1.jpg,29.99,Box,Retail - limited,1084.0,2253.0,3,Model making,3,21022-1,1.0,29.99
21023,"Flatiron Building, New York",2015,Architecture,Landmark Series,471.0,0.0,http://images.brickset.com/sets/images/21023-1.jpg,39.99,Box,Retail - limited,1330.0,2191.0,0,Model making,0,21023-1,1.0,39.99
21024,Louvre,2015,Architecture,No_Subtheme,695.0,0.0,http://images.brickset.com/sets/images/21024-1.jpg,59.99,Box,Retail - limited,1695.0,2337.0,5,Model making,1,21024-1,1.0,59.99
21119,The Dungeon,2015,Minecraft,No_Subtheme,219.0,3.0,http://images.brickset.com/sets/images/21119-1.jpg,19.99,Box,Retail,638.0,1219.0,4.5,Licensed,2,21119-1,1.0,19.99
21120,The Snow Hideout,2015,Minecraft,No_Subtheme,327.0,3.0,http://images.brickset.com/sets/images/21120-1.jpg,39.99,Box,Retail,707.0,899.0,0,Licensed,0,21120-1,1.0,39.99
21121,The Desert Outpost,2015,Minecraft,No_Subtheme,519.0,4.0,http://images.brickset.com/sets/images/21121-1.jpg,59.99,Box,Retail,758.0,769.0,0,Licensed,0,21121-1,1.0,59.99
21122,The Nether Fortress,2015,Minecraft,No_Subtheme,571.0,4.0,http://images.brickset.com/sets/images/21122-1.jpg,79.99,Box,Retail,757.0,669.0,4,Licensed,2,21122-1,1.0,79.99
21301,Birds,2015,Ideas,No_Subtheme,580.0,0.0,http://images.brickset.com/sets/images/21301-1.jpg,44.99,Box,Retail - limited,1310.0,4640.0,4,Miscellaneous,3,21301-1,1.0,44.99
21302,The Big Bang Theory,2015,Ideas,No_Subtheme,484.0,7.0,http://images.brickset.com/sets/images/21302-1.jpg,59.99,Box,Retail - limited,1535.0,6389.0,4.25,Miscellaneous,4,21302-1,1.0,59.99
21303,WALL-E,2015,Ideas,No_Subtheme,677.0,0.0,http://images.brickset.com/sets/images/21303-1.jpg,59.99,Box,Retail - limited,2238.0,8151.0,5,Miscellaneous,3,21303-1,1.0,59.99
31014,Power Digger,2014,Creator,No_Subtheme,64.0,0.0,http://images.brickset.com/sets/images/31014-1.jpg,4.99,Box,Retail,358.0,3854.0,4,Basic,2,31014-1,0.9838,5.07216914007
31027,Blue Racer,2015,Creator,No_Subtheme,67.0,0.0,http://images.brickset.com/sets/images/31027-1.jpg,4.99,Box,Retail,241.0,2176.0,5,Basic,2,31027-1,1.0,4.99
31028,Sea Plane,2015,Creator,No_Subtheme,53.0,0.0,http://images.brickset.com/sets/images/31028-1.jpg,4.99,Box,Retail,323.0,2502.0,3.5,Basic,2,31028-1,1.0,4.99
31029,Cargo Heli,2015,Creator,No_Subtheme,132.0,0.0,http://images.brickset.com/sets/images/31029-1.jpg,9.99,Box,Retail,292.0,1715.0,0,Basic,0,31029-1,1.0,9.99
31030,Red Go-Kart,2015,Creator,No_Subtheme,106.0,0.0,http://images.brickset.com/sets/images/31030-1.jpg,9.99,Box,Retail,481.0,1919.0,5,Basic,1,31030-1,1.0,9.99
31031,Rainforest Animals,2015,Creator,No_Subtheme,215.0,0.0,http://images.brickset.com/sets/images/31031-1.jpg,14.99,Box,Retail,806.0,3995.0,5,Basic,5,31031-1,1.0,14.99
